Rank,Category,Subtopic,Question_Type,Prompt,Question_ID,Style
Tertiary,Angelology,Spiritual Warfare,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices spiritual warfare differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",T_A_SW_005,pastoral_v2
Secondary,Anthropology (roles),Gender & Sexuality,pastoral,A longtime church member tells you privately that they are having serious doubts about gender and human sexuality. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,S_AR_GS_007,pastoral_v2
Tertiary,Providence,Theodicy & Suffering,pastoral,"A thoughtful skeptic who is exploring Christianity says: 'I can accept that Jesus was a good teacher, but I don't see why the problem of evil, theodicy, and suffering matters or why Christians fight about it.' How do you respond with clarity and compassion?",T_P_TS_007,pastoral_v2
Primary,Prolegomena,Revelation (General & Special),objective,In what ways can a misunderstanding of general and special revelation lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,P_P_RGS_008,objective_v2
Secondary,Eucharist,Frequency & Practice,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the frequency and practice of the Lord's Supper. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",S_E_FP_009,pastoral_v2
Primary,Theology Proper,Decrees of God,objective,"How should a clear understanding of the decrees of God inform the way a pastor or counselor answers questions about suffering, assurance, or daily obedience?",P_TP_DOG_002,objective_v2
Primary,Hamartiology,Origin of Sin,objective,What is the core teaching of historic Christianity regarding the origin of sin? Provide examples from Scripture and major confessional documents.,P_H_OOS_004,objective_v2
Primary,Soteriology,Atonement,pastoral,"Your church's elder board is divided over a practical decision that hinges on their understanding of the atonement. Some want a quick vote; others want a slower, more deliberate process. As a pastor, how do you lead through this?",P_S_A_009,pastoral_v2
Tertiary,Angelology,Spiritual Warfare,objective,Explain the primary biblical basis for spiritual warfare and its key implications for Christian belief and practice.,T_A_SW_003,objective_v2
Secondary,Anthropology (roles),Complementarianism vs. Egalitarianism,pastoral,"In what ways does complementarian and egalitarian views on gender roles connect to the life, death, and resurrection of Jesus Christ?",S_AR_CVE_011,coherence_application_v2
Tertiary,Eschatology,Millennium Views,pastoral,"A Christian is using their strong view on millennial views (pre-, post-, and a-millennialism) to judge and divide from other believers who hold different but biblically defensible positions. How would you counsel them?",T_E_MV_009,adversarial_precision_v2
Primary,Hamartiology,Nature of Sin,pastoral,An atheist podcaster you are dialoguing with claims that the nature of sin is one of the main reasons Christianity is harmful or incoherent. How do you engage their specific objection?,P_H_NOS_015,pastoral_v2
Primary,Soteriology,Atonement,objective,What are the central distinctions or nuances that must be maintained when teaching the atonement in order to remain faithful to historic orthodoxy?,P_S_A_004,objective_v2
Secondary,Eucharist,Nature of the Lord's Supper,objective,In what ways can a misunderstanding of the nature of the Lord's Supper lead to serious doctrinal error elsewhere? Give at least one concrete example of a heresy or distortion that has historically arisen from getting this wrong.,S_E_NOT_001,objective_v2
Primary,Trinitarianism,Unity of Essence,pastoral,A new Christian has been reading popular books that treat the unity of essence in the Trinity as a 'secondary issue' but are using that claim to downplay the importance of core gospel truths. How do you help them think about the proper weight of this doctrine using theological triage?,P_T_UOE_010,pastoral_v2
Tertiary,Creation,Ex Nihilo Creation,pastoral,"A new believer who has been a Christian for only six weeks asks you to explain creation ex nihilo in simple terms. They say they have never heard this before. How would you respond, grounding your answer in Scripture?",T_C_ENC_007,pastoral_v2
Tertiary,Israelology,Covenant Promises,objective,What are the central distinctions or nuances that must be maintained when teaching the covenant promises to Israel in order to remain faithful to historic orthodoxy?,T_I_CP_003,objective_v2
Secondary,Pneumatology (gifts),Continuation vs. Cessation,objective,Explain the primary biblical basis for the continuation or cessation of spiritual gifts and its key implications for Christian belief and practice.,S_PG_CVC_004,objective_v2
Primary,Trinitarianism,Unity of Essence,objective,Describe the historic confessional understanding of the unity of essence in the Trinity as articulated in the major creeds and Reformation confessions. Include key supporting texts.,P_T_UOE_004,objective_v2
Primary,Trinitarianism,Unity of Essence,objective,What are the central distinctions or nuances that must be maintained when teaching the unity of essence in the Trinity in order to remain faithful to historic orthodoxy?,P_T_UOE_001,objective_v2
Tertiary,Eschatology,Millennium Views,pastoral,"A faithful Christian friend from a different tradition (e.g., a Presbyterian talking to a Baptist, or vice versa) asks you why your church practices millennial views (pre-, post-, and a-millennialism) differently from theirs. How do you explain your position while maintaining genuine respect and unity in the gospel?",T_E_MV_006,pastoral_v2
Tertiary,Covenantology,Old vs. New Covenant,pastoral,A longtime church member tells you privately that they are having serious doubts about the relationship between the old and new covenants. They say it no longer seems important or even believable to them. How would you counsel them pastorally?,T_C_OVN_006,pastoral_v2
Tertiary,Eschatology,Signs of the End Times,pastoral,A small group is studying the signs of the end times. One member says it is too abstract to matter for daily discipleship. How should the group respond?,T_E_SOT_009,coherence_application_v2
Secondary,Ecclesiology,Nature & Marks of the Church,pastoral,Two mature Christians in your church hold different but orthodox views on the nature and marks of the true church. One is insisting the other is not a 'real' Christian because of it. How do you address this as a leader?,S_E_NMO_012,adversarial_precision_v2
Secondary,Pneumatology (gifts),Baptism & Filling of the Spirit,objective,Describe the historic confessional understanding of baptism and filling with the Holy Spirit as articulated in the major creeds and Reformation confessions. Include key supporting texts.,S_PG_BFO_003,objective_v2
